id,pharmacy_id,medicine_id,year,week,total_dispensed,avg_daily,days_recorded,shortage_risk
1,1,3,2024,45,193,48.25,4,medium
2,1,26,2024,45,82,41.0,2,medium
3,1,78,2024,45,127,42.33,3,medium
4,1,28,2024,45,53,53.0,1,low
5,1,1,2024,45,685,342.5,2,high
6,1,90,2024,45,48,48.0,1,low
7,1,36,2024,45,305,305.0,1,high
8,1,56,2024,45,168,42.0,4,medium
9,1,83,2024,45,172,43.0,4,medium
10,1,71,2024,45,99,49.5,2,medium
11,1,43,2024,45,45,45.0,1,low
12,1,32,2024,45,121,40.33,3,medium
13,1,41,2024,45,44,44.0,1,low
14,1,112,2024,45,174,43.5,4,medium
15,1,70,2024,45,103,51.5,2,medium
16,1,59,2024,45,69,34.5,2,low
17,1,111,2024,45,30,30.0,1,low
18,1,88,2024,45,180,45.0,4,medium
19,1,11,2024,45,97,48.5,2,medium
20,1,84,2024,45,29,29.0,1,low
21,1,65,2024,45,155,51.67,3,medium
22,1,74,2024,45,152,50.67,3,medium
23,1,120,2024,45,35,35.0,1,low
24,1,103,2024,45,48,48.0,1,low
25,1,105,2024,45,106,53.0,2,medium
26,1,24,2024,45,121,121.0,1,medium
27,1,58,2024,45,78,39.0,2,low
28,1,38,2024,45,131,43.67,3,medium
29,1,19,2024,45,40,40.0,1,low
30,1,18,2024,45,119,39.67,3,medium
31,1,107,2024,45,76,38.0,2,low
32,1,101,2024,45,36,36.0,1,low
33,1,12,2024,45,126,42.0,3,medium
34,1,46,2024,45,95,47.5,2,medium
35,1,113,2024,45,100,50.0,2,medium
36,1,102,2024,45,54,54.0,1,low
37,1,30,2024,45,87,43.5,2,medium
38,1,20,2024,45,86,43.0,2,medium
39,1,64,2024,45,76,38.0,2,low
40,1,115,2024,45,129,43.0,3,medium
41,1,13,2024,45,530,265.0,2,high
42,1,29,2024,45,35,35.0,1,low
43,1,15,2024,45,52,52.0,1,low
44,1,76,2024,45,38,38.0,1,low
45,1,106,2024,45,84,42.0,2,medium
46,1,44,2024,45,50,50.0,1,low
47,1,5,2024,45,36,36.0,1,low
48,1,119,2024,45,33,33.0,1,low
49,1,66,2024,45,38,38.0,1,low
50,1,6,2024,45,37,37.0,1,low
51,1,72,2024,45,30,30.0,1,low
52,1,21,2024,45,54,54.0,1,low
53,1,45,2024,45,38,38.0,1,low
54,1,92,2024,45,37,37.0,1,low
55,1,50,2024,45,39,39.0,1,low
56,1,57,2024,45,328,328.0,1,high
57,1,75,2024,45,59,59.0,1,low
58,1,114,2024,45,40,40.0,1,low
59,1,106,2024,46,132,44.0,3,medium
60,1,64,2024,46,341,42.62,8,high
61,1,105,2024,46,54,54.0,1,low
62,1,74,2024,46,104,52.0,2,medium
63,1,24,2024,46,200,100.0,2,medium
64,1,111,2024,46,108,54.0,2,medium
65,1,54,2024,46,91,45.5,2,medium
66,1,107,2024,46,90,45.0,2,medium
67,1,57,2024,46,397,198.5,2,high
68,1,37,2024,46,109,36.33,3,medium
69,1,38,2024,46,193,38.6,5,medium
70,1,21,2024,46,189,47.25,4,medium
71,1,95,2024,46,228,45.6,5,high
72,1,23,2024,46,291,145.5,2,high
73,1,66,2024,46,39,39.0,1,low
74,1,6,2024,46,124,41.33,3,medium
75,1,104,2024,46,172,43.0,4,medium
76,1,4,2024,46,89,44.5,2,medium
77,1,112,2024,46,87,43.5,2,medium
78,1,78,2024,46,102,51.0,2,medium
79,1,88,2024,46,80,40.0,2,low
80,1,84,2024,46,175,43.75,4,medium
81,1,12,2024,46,207,51.75,4,high
82,1,20,2024,46,273,54.6,5,high
83,1,14,2024,46,167,41.75,4,medium
84,1,5,2024,46,308,51.33,6,high
85,1,115,2024,46,144,48.0,3,medium
86,1,103,2024,46,116,38.67,3,medium
87,1,56,2024,46,86,43.0,2,medium
88,1,13,2024,46,264,264.0,1,high
89,1,25,2024,46,395,98.75,4,high
90,1,60,2024,46,101,50.5,2,medium
91,1,65,2024,46,92,46.0,2,medium
92,1,26,2024,46,140,46.67,3,medium
93,1,36,2024,46,285,285.0,1,high
94,1,69,2024,46,83,41.5,2,medium
95,1,120,2024,46,47,47.0,1,low
96,1,92,2024,46,108,54.0,2,medium
97,1,102,2024,46,92,46.0,2,medium
98,1,108,2024,46,144,48.0,3,medium
99,1,71,2024,46,137,45.67,3,medium
100,1,114,2024,46,116,58.0,2,medium
101,1,11,2024,46,90,45.0,2,medium
102,1,118,2024,46,153,51.0,3,medium
103,1,117,2024,46,52,52.0,1,low
104,1,87,2024,46,170,42.5,4,medium
105,1,16,2024,46,162,40.5,4,medium
106,1,83,2024,46,88,44.0,2,medium
107,1,55,2024,46,72,36.0,2,low
108,1,72,2024,46,99,49.5,2,medium
109,1,113,2024,46,76,38.0,2,low
110,1,70,2024,46,187,46.75,4,medium
111,1,18,2024,46,33,33.0,1,low
112,1,29,2024,46,138,46.0,3,medium
113,1,41,2024,46,48,48.0,1,low
114,1,44,2024,46,76,38.0,2,low
115,1,99,2024,46,88,44.0,2,medium
116,1,119,2024,46,98,49.0,2,medium
117,1,58,2024,46,102,51.0,2,medium
118,1,59,2024,46,34,34.0,1,low
119,1,15,2024,46,80,40.0,2,low
120,1,28,2024,46,75,37.5,2,low
121,1,43,2024,46,139,46.33,3,medium
122,1,49,2024,46,384,192.0,2,high
123,1,3,2024,46,91,45.5,2,medium
124,1,19,2024,46,47,47.0,1,low
125,1,1,2024,46,549,549.0,1,high
126,1,7,2024,46,89,44.5,2,medium
127,1,47,2024,46,49,49.0,1,low
128,1,90,2024,46,35,35.0,1,low
129,1,32,2024,46,40,40.0,1,low
130,1,101,2024,46,48,48.0,1,low
131,1,75,2024,46,34,34.0,1,low
132,1,109,2024,46,46,46.0,1,low
133,1,111,2024,47,55,55.0,1,low
134,1,30,2024,47,140,46.67,3,medium
135,1,105,2024,47,40,40.0,1,low
136,1,45,2024,47,158,39.5,4,medium
137,1,88,2024,47,33,33.0,1,low
138,1,90,2024,47,158,39.5,4,medium
139,1,76,2024,47,127,42.33,3,medium
140,1,1,2024,47,1758,439.5,4,high
141,1,57,2024,47,1839,262.71,7,high
142,1,66,2024,47,266,44.33,6,high
143,1,65,2024,47,96,48.0,2,medium
144,1,7,2024,47,136,45.33,3,medium
145,1,37,2024,47,104,52.0,2,medium
146,1,47,2024,47,128,42.67,3,medium
147,1,99,2024,47,90,45.0,2,medium
148,1,92,2024,47,43,43.0,1,low
149,1,18,2024,47,260,43.33,6,high
150,1,55,2024,47,135,45.0,3,medium
151,1,54,2024,47,110,55.0,2,medium
152,1,25,2024,47,328,109.33,3,high
153,1,117,2024,47,222,44.4,5,high
154,1,104,2024,47,133,44.33,3,medium
155,1,84,2024,47,142,47.33,3,medium
156,1,70,2024,47,153,51.0,3,medium
157,1,113,2024,47,153,51.0,3,medium
158,1,75,2024,47,78,39.0,2,low
159,1,36,2024,47,1520,304.0,5,high
160,1,3,2024,47,149,49.67,3,medium
161,1,102,2024,47,78,39.0,2,low
162,1,50,2024,47,276,46.0,6,high
163,1,28,2024,47,218,43.6,5,high
164,1,71,2024,47,312,44.57,7,high
165,1,29,2024,47,99,49.5,2,medium
166,1,49,2024,47,192,192.0,1,medium
167,1,46,2024,47,99,49.5,2,medium
168,1,41,2024,47,35,35.0,1,low
169,1,24,2024,47,322,107.33,3,high
170,1,114,2024,47,103,51.5,2,medium
171,1,16,2024,47,391,48.88,8,high
172,1,101,2024,47,88,44.0,2,medium
173,1,60,2024,47,140,46.67,3,medium
174,1,72,2024,47,126,42.0,3,medium
175,1,59,2024,47,131,43.67,3,medium
176,1,5,2024,47,219,54.75,4,high
177,1,15,2024,47,201,50.25,4,high
178,1,120,2024,47,92,46.0,2,medium
179,1,78,2024,47,89,44.5,2,medium
180,1,58,2024,47,54,54.0,1,low
181,1,38,2024,47,37,37.0,1,low
182,1,107,2024,47,31,31.0,1,low
183,1,6,2024,47,156,39.0,4,medium
184,1,44,2024,47,301,43.0,7,high
185,1,19,2024,47,96,48.0,2,medium
186,1,109,2024,47,90,45.0,2,medium
187,1,115,2024,47,139,46.33,3,medium
188,1,112,2024,47,50,50.0,1,low
189,1,74,2024,47,45,45.0,1,low
190,1,103,2024,47,72,36.0,2,low
191,1,26,2024,47,127,42.33,3,medium
192,1,64,2024,47,109,36.33,3,medium
193,1,83,2024,47,56,56.0,1,low
194,1,4,2024,47,77,38.5,2,low
195,1,34,2024,47,87,43.5,2,medium
196,1,108,2024,47,53,53.0,1,low
197,1,20,2024,47,90,45.0,2,medium
198,1,106,2024,47,79,39.5,2,low
199,1,21,2024,47,41,41.0,1,low
200,1,87,2024,47,70,35.0,2,low
201,1,11,2024,47,92,46.0,2,medium
202,1,119,2024,47,41,41.0,1,low
203,1,12,2024,47,56,56.0,1,low
204,1,56,2024,47,90,45.0,2,medium
205,1,95,2024,47,99,49.5,2,medium
206,1,23,2024,47,145,145.0,1,medium
207,1,69,2024,47,91,45.5,2,medium
208,1,28,2024,48,106,53.0,2,medium
209,1,102,2024,48,80,40.0,2,low
210,1,107,2024,48,153,51.0,3,medium
211,1,69,2024,48,238,47.6,5,high
212,1,64,2024,48,97,48.5,2,medium
213,1,19,2024,48,166,41.5,4,medium
214,1,36,2024,48,1119,373.0,3,high
215,1,3,2024,48,119,39.67,3,medium
216,1,15,2024,48,91,45.5,2,medium
217,1,38,2024,48,157,52.33,3,medium
218,1,14,2024,48,108,54.0,2,medium
219,1,6,2024,48,227,45.4,5,high
220,1,113,2024,48,132,44.0,3,medium
221,1,112,2024,48,158,52.67,3,medium
222,1,18,2024,48,144,48.0,3,medium
223,1,57,2024,48,421,210.5,2,high
224,1,83,2024,48,213,42.6,5,high
225,1,104,2024,48,154,51.33,3,medium
226,1,92,2024,48,174,43.5,4,medium
227,1,16,2024,48,77,38.5,2,low
228,1,45,2024,48,148,37.0,4,medium
229,1,1,2024,48,320,320.0,1,high
230,1,47,2024,48,113,37.67,3,medium
231,1,59,2024,48,307,43.86,7,high
232,1,108,2024,48,52,52.0,1,low
233,1,119,2024,48,130,43.33,3,medium
234,1,95,2024,48,44,44.0,1,low
235,1,43,2024,48,106,53.0,2,medium
236,1,41,2024,48,52,52.0,1,low
237,1,117,2024,48,101,33.67,3,medium
238,1,70,2024,48,166,55.33,3,medium
239,1,13,2024,48,253,253.0,1,high
240,1,76,2024,48,199,39.8,5,medium
241,1,74,2024,48,82,41.0,2,medium
242,1,11,2024,48,39,39.0,1,low
243,1,24,2024,48,431,143.67,3,high
244,1,5,2024,48,37,37.0,1,low
245,1,87,2024,48,144,48.0,3,medium
246,1,44,2024,48,84,42.0,2,medium
247,1,66,2024,48,74,37.0,2,low
248,1,12,2024,48,43,43.0,1,low
249,1,105,2024,48,44,44.0,1,low
250,1,7,2024,48,144,48.0,3,medium
251,1,26,2024,48,87,43.5,2,medium
252,1,78,2024,48,131,43.67,3,medium
253,1,54,2024,48,108,54.0,2,medium
254,1,58,2024,48,57,57.0,1,low
255,1,120,2024,48,151,50.33,3,medium
256,1,25,2024,48,399,99.75,4,high
257,1,75,2024,48,42,42.0,1,low
258,1,115,2024,48,113,56.5,2,medium
259,1,46,2024,48,53,53.0,1,low
260,1,72,2024,48,129,43.0,3,medium
261,1,4,2024,48,54,54.0,1,low
262,1,37,2024,48,97,48.5,2,medium
263,1,71,2024,48,140,46.67,3,medium
264,1,23,2024,48,162,162.0,1,medium
265,1,106,2024,48,50,50.0,1,low
266,1,65,2024,48,32,32.0,1,low
267,1,103,2024,48,101,50.5,2,medium
268,1,21,2024,48,39,39.0,1,low
269,1,56,2024,48,34,34.0,1,low
270,1,32,2024,48,30,30.0,1,low
271,1,109,2024,48,53,53.0,1,low
272,1,101,2024,48,42,42.0,1,low
273,1,20,2024,48,46,46.0,1,low
274,1,55,2024,48,58,58.0,1,low
275,1,46,2024,49,149,49.67,3,medium
276,1,88,2024,49,135,45.0,3,medium
277,1,12,2024,49,168,42.0,4,medium
278,1,37,2024,49,123,41.0,3,medium
279,1,95,2024,49,200,50.0,4,medium
280,1,30,2024,49,178,44.5,4,medium
281,1,106,2024,49,98,49.0,2,medium
282,1,32,2024,49,180,45.0,4,medium
283,1,75,2024,49,127,42.33,3,medium
284,1,5,2024,49,199,49.75,4,medium
285,1,105,2024,49,48,48.0,1,low
286,1,119,2024,49,260,43.33,6,high
287,1,1,2024,49,839,419.5,2,high
288,1,19,2024,49,210,42.0,5,high
289,1,69,2024,49,148,37.0,4,medium
290,1,112,2024,49,108,36.0,3,medium
291,1,66,2024,49,163,40.75,4,medium
292,1,7,2024,49,109,36.33,3,medium
293,1,78,2024,49,194,48.5,4,medium
294,1,25,2024,49,101,50.5,2,medium
295,1,56,2024,49,161,40.25,4,medium
296,1,29,2024,49,156,39.0,4,medium
297,1,45,2024,49,179,44.75,4,medium
298,1,54,2024,49,32,32.0,1,low
299,1,83,2024,49,164,41.0,4,medium
300,1,84,2024,49,266,44.33,6,high
301,1,3,2024,49,31,31.0,1,low
302,1,11,2024,49,147,49.0,3,medium
303,1,71,2024,49,164,41.0,4,medium
304,1,6,2024,49,48,48.0,1,low
305,1,28,2024,49,84,42.0,2,medium
306,1,44,2024,49,83,41.5,2,medium
307,1,15,2024,49,139,46.33,3,medium
308,1,57,2024,49,945,315.0,3,high
309,1,108,2024,49,233,46.6,5,high
310,1,70,2024,49,153,38.25,4,medium
311,1,117,2024,49,94,47.0,2,medium
312,1,114,2024,49,125,41.67,3,medium
313,1,49,2024,49,788,197.0,4,high
314,1,101,2024,49,91,45.5,2,medium
315,1,34,2024,49,57,57.0,1,low
316,1,115,2024,49,206,51.5,4,high
317,1,18,2024,49,206,41.2,5,high
318,1,47,2024,49,97,48.5,2,medium
319,1,104,2024,49,66,33.0,2,low
320,1,92,2024,49,186,46.5,4,medium
321,1,41,2024,49,94,47.0,2,medium
322,1,36,2024,49,1880,313.33,6,high
323,1,24,2024,49,278,46.33,6,high
324,1,74,2024,49,93,46.5,2,medium
325,1,109,2024,49,86,43.0,2,medium
326,1,72,2024,49,138,46.0,3,medium
327,1,65,2024,49,82,41.0,2,medium
328,1,23,2024,49,98,49.0,2,medium
329,1,120,2024,49,96,48.0,2,medium
330,1,43,2024,49,87,43.5,2,medium
331,1,118,2024,49,51,51.0,1,low
332,1,111,2024,49,36,36.0,1,low
333,1,16,2024,49,85,42.5,2,medium
334,1,55,2024,49,35,35.0,1,low
335,1,76,2024,49,73,36.5,2,low
336,1,38,2024,49,40,40.0,1,low
337,1,4,2024,49,47,47.0,1,low
338,1,26,2024,49,50,50.0,1,low
339,1,20,2024,49,51,51.0,1,low
340,1,90,2024,49,54,54.0,1,low
341,1,87,2024,49,54,54.0,1,low
342,1,113,2024,49,79,39.5,2,low
343,1,60,2024,49,57,57.0,1,low
344,1,64,2024,49,49,49.0,1,low
345,1,58,2024,49,66,66.0,1,low
346,1,103,2024,49,51,51.0,1,low
347,1,21,2024,49,43,43.0,1,low
348,1,13,2024,49,218,218.0,1,high
349,1,92,2024,50,57,57.0,1,low
350,1,99,2024,50,240,48.0,5,high
351,1,107,2024,50,319,45.57,7,high
352,1,38,2024,50,125,41.67,3,medium
353,1,13,2024,50,424,212.0,2,high
354,1,115,2024,50,135,45.0,3,medium
355,1,95,2024,50,85,42.5,2,medium
356,1,69,2024,50,116,38.67,3,medium
357,1,20,2024,50,98,49.0,2,medium
358,1,36,2024,50,859,286.33,3,high
359,1,18,2024,50,260,37.14,7,high
360,1,74,2024,50,79,39.5,2,low
361,1,32,2024,50,180,45.0,4,medium
362,1,66,2024,50,375,46.88,8,high
363,1,14,2024,50,204,51.0,4,high
364,1,1,2024,50,906,453.0,2,high
365,1,58,2024,50,341,85.25,4,high
366,1,102,2024,50,254,50.8,5,high
367,1,23,2024,50,279,55.8,5,high
368,1,109,2024,50,86,43.0,2,medium
369,1,88,2024,50,163,40.75,4,medium
370,1,44,2024,50,75,37.5,2,low
371,1,12,2024,50,36,36.0,1,low
372,1,106,2024,50,161,53.67,3,medium
373,1,3,2024,50,163,40.75,4,medium
374,1,54,2024,50,146,48.67,3,medium
375,1,64,2024,50,184,46.0,4,medium
376,1,56,2024,50,117,39.0,3,medium
377,1,78,2024,50,247,41.17,6,high
378,1,19,2024,50,338,42.25,8,high
379,1,118,2024,50,91,45.5,2,medium
380,1,117,2024,50,372,46.5,8,high
381,1,113,2024,50,83,41.5,2,medium
382,1,24,2024,50,152,50.67,3,medium
383,1,55,2024,50,147,36.75,4,medium
384,1,50,2024,50,175,43.75,4,medium
385,1,25,2024,50,247,49.4,5,high
386,1,111,2024,50,141,47.0,3,medium
387,1,5,2024,50,140,46.67,3,medium
388,1,45,2024,50,41,41.0,1,low
389,1,105,2024,50,159,39.75,4,medium
390,1,72,2024,50,92,46.0,2,medium
391,1,41,2024,50,71,35.5,2,low
392,1,65,2024,50,155,51.67,3,medium
393,1,11,2024,50,182,36.4,5,medium
394,1,114,2024,50,125,41.67,3,medium
395,1,34,2024,50,194,48.5,4,medium
396,1,47,2024,50,216,43.2,5,high
397,1,103,2024,50,70,35.0,2,low
398,1,21,2024,50,93,46.5,2,medium
399,1,15,2024,50,86,43.0,2,medium
400,1,7,2024,50,217,43.4,5,high
401,1,108,2024,50,96,48.0,2,medium
402,1,70,2024,50,81,40.5,2,medium
403,1,84,2024,50,138,46.0,3,medium
404,1,29,2024,50,94,47.0,2,medium
405,1,101,2024,50,179,44.75,4,medium
406,1,112,2024,50,153,51.0,3,medium
407,1,28,2024,50,168,42.0,4,medium
408,1,76,2024,50,52,52.0,1,low
409,1,60,2024,50,152,76.0,2,medium
410,1,83,2024,50,92,46.0,2,medium
411,1,46,2024,50,143,47.67,3,medium
412,1,119,2024,50,89,44.5,2,medium
413,1,57,2024,50,781,390.5,2,high
414,1,104,2024,50,114,38.0,3,medium
415,1,120,2024,50,73,36.5,2,low
416,1,43,2024,50,102,51.0,2,medium
417,1,37,2024,50,96,48.0,2,medium
418,1,6,2024,50,111,55.5,2,medium
419,1,59,2024,50,45,45.0,1,low
420,1,87,2024,50,88,44.0,2,medium
